,case,num_malfunction,time_steps,runtime,done_percentage,reward
124,Test_12/Level_4,2,147,0.748,1,0.902
125,Test_12/Level_5,0,108,0.587,1,0.921
126,Test_12/Level_6,2,173,0.783,1,0.886
127,Test_12/Level_7,4,205,0.902,1,0.882
128,Test_12/Level_8,4,205,1,1,0.897
129,Test_12/Level_9,1,141,0.698,1,0.895
130,Test_13/Level_0,0,145,0.884,1,0.893
131,Test_13/Level_1,38,298,1.522,1,0.821
132,Test_13/Level_2,9,165,0.851,1,0.914
133,Test_13/Level_3,2,126,0.893,1,0.906
134,Test_13/Level_4,6,206,1.033,1,0.889
135,Test_13/Level_5,6,229,1.259,1,0.864
136,Test_13/Level_6,5,192,0.902,1,0.903
137,Test_13/Level_7,4,169,0.917,1,0.903
138,Test_13/Level_8,2,139,0.937,1,0.904
139,Test_13/Level_9,4,172,0.885,1,0.903
140,Test_14/Level_0,0,165,1.163,1,0.885
141,Test_14/Level_1,74,460,2.155,1,0.805
142,Test_14/Level_2,16,199,1.604,1,0.861
143,Test_14/Level_3,8,186,1.313,1,0.88
144,Test_14/Level_4,8,272,1.486,1,0.865
145,Test_14/Level_5,6,182,1.325,1,0.886
146,Test_14/Level_6,6,237,1.418,1,0.868
147,Test_14/Level_7,7,248,1.646,1,0.876
148,Test_14/Level_8,5,200,1.353,1,0.871
149,Test_14/Level_9,5,189,1.273,1,0.87
150,Test_15/Level_0,0,166,1.136,1,0.911
151,Test_15/Level_1,79,419,2.508,1,0.777
152,Test_15/Level_2,38,412,2.445,1,0.779
153,Test_15/Level_3,14,294,1.83,1,0.845
154,Test_15/Level_4,9,251,1.724,1,0.864
155,Test_15/Level_5,6,159,1.176,1,0.912
156,Test_15/Level_6,10,290,1.711,1,0.87
157,Test_15/Level_7,5,178,1.339,1,0.898
158,Test_15/Level_8,6,223,1.485,1,0.878
159,Test_15/Level_9,6,188,1.221,1,0.9
160,Test_16/Level_0,0,188,1.388,1,0.896
161,Test_16/Level_1,92,456,3.734,1,0.719
162,Test_16/Level_2,38,365,2.854,1,0.782
163,Test_16/Level_3,33,560,3.2,1,0.77
164,Test_16/Level_4,10,258,1.878,1,0.872
